Airport_CODE,name_Airport,country_code_Airport,Airport_rwy_len_ft,Airport_rwy_wid_ft,Airport_latitude,Airport_longitude,Airport_elevation_ft,Airport_offset_hours,Airport_type
KNYL,Yuma MCAS,US,13299,200,32.65660095,-114.6060028,213,-7,medium_airport
EFKI,Kajaani,FI,8199,157,64.28549957,27.69239998,483,3,medium_airport
OPIS,Islamabad,PK,12001,197,33.560713,72.851613,1646,5,large_airport
HCMM,Mogadishu,SO,10446,148,2.01444006,45.30469894,29,3,medium_airport
EDSB,Karlsruhe/Baden-Baden,DE,9787,148,48.77939987,8.080499649,408,2,medium_airport
OMAA,Abu Dhabi,AE,13471,197,24.43300056,54.65110016,88,4,large_airport
KFLL,Fort Lauderdale,US,9000,150,26.072599,-80.152702,9,-4,large_airport
VNKT,Kathmandu,NP,10007,148,27.6966,85.3591,4390,5.75,large_airport
LIEA,Alghero,IT,9843,148,40.632099,8.29077,87,2,medium_airport
LTCU,Bingol,TR,7546,148,38.85926056,40.59596252,3506,3,medium_airport
LPAZ,Santa Maria,PT,10000,197,36.97140121,-25.17060089,308,0,medium_airport
LJMB,Maribor,SI,8202,197,46.47990036,15.68610001,876,2,medium_airport
RPLL,Manila,PH,12261,197,14.5086,121.019997,75,8,large_airport
FZAA,Kinshasa N'Djili,CD,13123,197,-4.38575,15.4446,1027,1,large_airport
LTAS,Zonguldak,TR,6991,148,41.50640106,32.08860016,39,3,medium_airport
GMTA,Al Hoceima,MA,8202,148,35.17710114,-3.839519978,95,1,medium_airport
CYFB,Iqaluit,CA,8605,200,63.756402,-68.555801,110,-4,medium_airport
VGHS,Dhaka,BD,10499,148,23.843347,90.397783,26,6,medium_airport
WADD,Bali,ID,9790,148,-8.748169899,115.1669998,14,8,large_airport
HSSK,Khartoum,SD,9751,148,15.58950043,32.55319977,1265,2,large_airport
UTSB,Bukhara,UZ,9843,147,39.77500153,64.48329926,751,5,medium_airport
EDLW,Dortmund,DE,6562,148,51.5182991,7.612239838,425,2,medium_airport
VVTS,Ho Chi Minh,VN,12468,148,10.81879997,106.6520004,33,7,large_airport
DBBB,Cotonou Cadjehoun,BJ,7874,148,6.357230186,2.384350061,19,1,medium_airport
LEZG,Zaragoza,ES,12198,148,41.66619873,-1.04155004,863,2,medium_airport
TNCA,Aruba,AW,9000,148,12.5014,-70.015198,60,-4,large_airport
LFCR,Rodez Marcillac,FR,6693,148,44.40790176,2.482670069,1910,2,medium_airport
GMFK,Errachidia,MA,10499,148,31.94750023,-4.398330212,3428,1,medium_airport
WMKK,Kuala Lumpur,MY,13530,197,2.745579958,101.7099991,69,8,large_airport
EFOU,Oulu,FI,8205,197,64.93009949,25.35460091,47,3,medium_airport
EDFH,Frankfurt Hahn,DE,12467,148,49.9487,7.26389,1649,2,medium_airport
GCXO,Tenerife Norte,ES,10404,148,28.48270035,-16.34149933,2076,1,medium_airport
LRBS,Bucharest Baneasa,RO,10499,148,44.50320053,26.10210037,297,3,medium_airport
SVMI,Caracas Maiquetia,VE,11483,148,10.601194,-66.991222,234,-4,large_airport
UTNU,Urgench,UZ,11065,165,41.58430099,60.64170074,320,5,medium_airport
OMDW,Dubai Al Maktoum,AE,14764,197,24.896356,55.161389,114,4,large_airport
CYYT,"St John's, Canada",CA,8502,200,47.61859894,-52.75189972,461,-2.5,large_airport
EFIV,Ivalo,FI,8199,148,68.6072998,27.40530014,481,3,medium_airport
LDRI,Rijeka,HR,8164,148,45.21689987,14.5703001,278,2,medium_airport
HAAB,Addis Ababa,ET,12467,148,8.977890015,38.79930115,7630,3,large_airport
OPKC,Karachi,PK,11155,151,24.9065,67.160797,100,5,large_airport
EGJJ,Jersey,GB,5597,148,49.207901,-2.195509911,277,1,medium_airport
LCRA,RAF Akrotiri,CY,9002,200,34.590401,32.9879,76,3,medium_airport
EGHL,Lasham,GB,5896,131,51.18719864,-1.033499956,618,1,medium_airport
KTUL,Tulsa,US,9999,200,36.19839859,-95.88809967,677,-5,large_airport
LFTM,Serres la Batie,FR,2133,295,44.2726,5.4338,2345,2,small_airport
LFRH,Lorient,FR,7884,148,47.76060104,-3.440000057,160,2,medium_airport
LTFC,Isparta,TR,9843,148,37.85540009,30.36840057,2835,3,medium_airport
EPMO,Warsaw Modlin,PL,8202,147,52.451099,20.6518,341,2,medium_airport
FNLU,Luanda Quatro de Fevereiro,AO,12190,197,-8.85837,13.2312,243,1,large_airport
VTBS,Bangkok Suvarnabhumi,TH,13123,197,13.68109989,100.7470016,5,7,large_airport
LGBL,Nea Anchialos,GR,9052,148,39.21960068,22.79430008,83,3,medium_airport
DGAA,Accra,GH,11165,200,5.6051898,-0.166786,205,0,large_airport
HRYR,Kigali,RW,11483,148,-1.96863,30.1395,4859,2,large_airport
KOMA,Omaha,US,9502,150,41.3032,-95.894096,984,-5,large_airport
EPKT,Katowice,PL,10499,147,50.4743,19.08,995,2,medium_airport
SBGR,Sao Paulo,BR,12139,148,-23.43555641,-46.47305679,2459,-3,large_airport
EDJA,Memmingen,DE,9768,98,47.98880005,10.23950005,2077,1,medium_airport
VHHH,Hong Kong,HK,12461,197,22.308901,113.915001,28,8,large_airport
Tekirdag Corlu Ataturk,TR,LTFJ,9662,148,40.898333,29.309167,312,-3,medium_airport
Entebbe,UG,HUEN,12038,150,0.039256,32.446908,1153,-3,medium_airport
